keyword,recommendation,ahrefs_volume_us,ahrefs_cpc_usd,ahrefs_kd,ahrefs_serp_updated,google_monthly_search_range_us,google_ad_competition,google_top_of_page_low_brl,google_top_of_page_high_brl
"ai for sales prospecting","seo_priority_3","1400","0.8","0","2026-09-09T16:05:27Z","100-1000","low","62.06","244.29"
"ai lead discovery","feature_positioning",,,,,,,,
"ai sales prospecting","defer_paid","350","11","16","2026-09-03T14:01:43Z","10-100","low","90.96","246.12"
"b2b lead scoring","seo_support","250","0.6","3","2026-09-08T11:22:41Z","10-100","low","62.28","210.55"
"b2b prospecting software","paid_pilot_exact","300","5","0","2026-08-19T04:47:49Z","10-100","low",,
"clay alternative","defer_paid","150","11","2","2026-08-28T07:37:46Z","100-1000","medium","49.39","172.51"
"ideal customer profile worksheet","seo_priority_1","70","3","5","2026-08-16T13:26:45Z","10-100","low",,
"lead enrichment","defer_paid","1500","9","6","2026-09-20T05:11:54Z","100-1000","medium","80.94","252.68"
"lead generation for agencies","defer_paid","100","2.5","11","2026-08-20T18:48:42Z","10-100","medium","109.45","353.62"
"lead generation software","defer_paid","2300","0.6","3","2026-09-09T07:15:18Z","100-1000","low","50.65","237.59"
"lead scoring automation","defer_paid","150","1.1","0","2026-09-09T20:22:20Z","10-100","low","62.22","203.12"
"lead scoring software","defer_paid","700","13","5","2026-09-18T18:10:24Z","100-1000","low","95.33","191.27"
"lead scoring template","seo_priority_2","100","7","1","2026-06-09T16:51:19Z","10-100","low","51.24","422.68"
"local business leads","defer_paid","200","1.5","28","2026-09-09T11:41:59Z","10-100","low","108.04","398.46"
"sales prospecting software","paid_pilot_exact","600","0.45","1","2026-09-05T06:47:48Z","100-1000","low","106.71","466.5"

